"Time [min]"	"Agitated pH 8 rep 1"	"Agitated pH 8 rep 2"	"Agitated pH 8 rep 3"	"Agitated pH 8 rep 4"	"Agitated pH 8 rep 5"	"Agitated pH 8 rep 6"	"Agitated pH 8 rep 7"	"Agitated pH 8 rep 8"	"Idle pH 8 rep 1"	"Idle pH 8 rep 2"	"Idle pH 8 rep 3"	"Idle pH 8 rep 4"	"Idle pH 8 rep 5"	"Idle pH 8 rep 6"	"Idle pH 8 rep 7"	"Idle pH 8 rep 8"
13.5	0.00844390832328105	0.00605489773950484	-0.000582467721580437	-0.0038526529232849	0.00586653629919333	0.0104334865234132	0.0192031352057479	0.00383468257349807								
14.85	-0.000603136308805799	0	-0.00349480632948258	0.00425819533626224	-0.010633097042288	-0.00260837163085332	-0.00627041149575439	0.00748676121492482								
16.2	0.00241254523522315	0.00403659849300323	-0.00349480632948258	-0.00588036498817169	0.000366658518699564	0.00298099614954663	0.00156760287393862	0.000182603932071327								
17.55	-0.00211097708082027	-0.0100914962325081	0.00232987088632171	-0.00182494085839812	0.00586653629919333	0.00298099614954663	-0.000391900718484628	0.00566072189421144								
18.9	0.00392038600723763	0	0.000873701582370635	-0.00182494085839812	0.00403324370569541	0.00111787355607998	0.00156760287393862	0.0020086432527847								
20.25	0.00241254523522315	0.00201829924650161	-0.000582467721580437	0.000202771206488667	0.00219995111219749	0.00298099614954663	-0.00235140431090788	-0.00346947470935542								
21.6	-0.00512665862484922	0.00403659849300323	0.000873701582370635	0.00223048327137545	-0.00696651185529213	-0.00633461681778662	0.00156760287393862	0.000182603932071327								
23	-0.00814234016887817	0	0.00669837879817493	0.00425819533626224	0.00586653629919333	-0.0156502297851199	-0.00822991508817764	0.0020086432527847								
24.3	-0.00361881785283475	-0.00201829924650161	-0.00495097563343366	-0.0038526529232849	0.000366658518699564	0.00111787355607998	-0.00822991508817764	-0.00712155335078216								
25.7	0.00241254523522315	-0.00403659849300323	0.00232987088632171	0.00628590740114902	-0.00696651185529213	0.00298099614954663	0.00156760287393862	-0.0107736319922089								
27	-0.000603136308805799	0.00807319698600646	-0.00640714493738473	0.00831361946603581	-0.00329992666829628	0.00111787355607998	0.00548661005878513	-0.00529551403006879								
28.4	-0.000603136308805799	0.00201829924650161	-0.000582467721580437	0.0103413315309226	-0.00329992666829628	-0.000745249037386671	0.00744611365120838	0.000182603932071327								
29.7	0.00844390832328105	0.00201829924650161	-0.0078633142413358	0.00425819533626224	-0.00146663407479836	0.00484411874301328	0.00548661005878513	0.0020086432527847								
31.1	0.00693606755126658	-0.00201829924650161	0.00232987088632171	-0.00182494085839812	-0.00146663407479836	0.00670724133647993	0.00156760287393862	0.0020086432527847								
32.4	0.00995174909529553	0.00201829924650161	-0.00203863702553151	0.00223048327137545	0.000366658518699564	0.00111787355607998	-0.00431090790333113	0.000182603932071327								
33.8	0.00995174909529553	0.0242195909580194	0.000873701582370635	-0.00588036498817169	-0.00329992666829628	0.00670724133647993	0.00744611365120838	-0.00346947470935542								
35.1	0.00844390832328105	0.0423842841765339	0.00378604019027278	-0.00182494085839812	-0.00329992666829628	0.00857036392994658	0.00548661005878513	0.00566072189421144								
36.5	0.0159831121833534	0.0383476856835307	0.00232987088632171	0.00628590740114902	-0.00146663407479836	0.00857036392994658	0.00744611365120838	0.0129648791770649								
37.8	0.01145958986731	0.0423842841765339	0.0168915639258324	0.016424467725583	0.00219995111219749	0.0178859768972798	0.0133246244284781	0.0111388398563516								
39.2	0.0220144752714113	0.0565123789020452	0.0139792253179303	0.00628590740114902	0.00586653629919333	0.0141597317103465	0.00548661005878513	0.0166169578184917								
40.5	0.0250301568154403	0.0605489773950484	0.0110668867100281	0.0123690435958094	-0.00329992666829628	0.0253384672711464	0.00352710646636188	0.0348773510256254								
41.9	0.0280458383594692	0.078713670613563	0.0183477332297835	0.0245353159851301	0.00219995111219749	0.0234753446776798	0.0172436316133246	0.0367033903463388								
43.2	0.0370928829915561	0.088805166846071	0.0183477332297835	0.0184521797904697	0.00769982889269125	0.0439696932058129	0.0113651208360549	0.0312252723841987								
44.6	0.040108564535585	0.117061356297094	0.0270847490534899	0.0265630280500169	0.0150329992666829	0.0421065706123463	0.0250816459830177	0.0367033903463388								
45.9	0.0506634499396864	0.127152852529602	0.0270847490534899	0.034673876309564	0.0113664140796871	0.0495590609862129	0.0309601567602874	0.0421815083084789								
47.3	0.0612183353437877	0.155409041980624	0.0343655955732453	0.0549509969584319	0.0205328770471767	0.075642777294746	0.0348791639451339	0.0604419015156126								
48.6	0.0823281061519903	0.161463939720129	0.0460149500048539	0.0508955728286583	0.0315326326081642	0.0830952676686126	0.0250816459830177	0.062267940836326								
50	0.0883594692400482	0.207884822389666	0.0503834579167071	0.044812436633998	0.0278660474211684	0.0998633710098124	0.0642717178314827	0.076876255402033								
51.3	0.110977080820265	0.242195909580194	0.0591204737404135	0.091449814126394	0.0278660474211684	0.0998633710098124	0.0564337034617897	0.10244080589202								
52.7	0.121531966224367	0.254305705059203	0.0722259974759732	0.0934775261912808	0.0406990955756538	0.137125822879145	0.0544741998693665	0.106092884533447								
54	0.132086851628468	0.286598493003229	0.0926123677312882	0.117810070969922	0.0480322659496455	0.157620171407279	0.0779882429784455	0.124353277740581								
55.4	0.154704463208685	0.318891280947255	0.105717891466848	0.134031767489017	0.0571987289171351	0.155757048813812	0.0936642717178315	0.129831395702721								
56.7	0.172798552472859	0.359257265877287	0.112998737986603	0.158364312267658	0.060865314104131	0.207924481430878	0.109340300457218	0.171830300079128								
58.1	0.19692400482509	0.395586652314316	0.129016600330065	0.178641432916526	0.0791982400391102	0.228418829959011	0.138732854343566	0.182786536003409								
59.4	0.218033775633293	0.435952637244349	0.156683817105135	0.205001689760054	0.0975311659740894	0.254502546267544	0.148530372305683	0.204699007851969								
60.8	0.233112183353438	0.46219052744887	0.179982525968353	0.235417370733356	0.101197751161085	0.289901875543411	0.160287393860222	0.23208959766267								
62.1	0.254221954161641	0.516684607104413	0.188719541792059	0.255694491382224	0.130530432657052	0.312259346665011	0.189679947746571	0.261306226794084								
63.5	0.275331724969843	0.557050592034446	0.210562081351325	0.294221020615073	0.143363480811537	0.347658675940877	0.209274983670803	0.283218698642644								
64.8	0.293425814234017	0.599434876210979	0.242597806038249	0.310442717134167	0.152529943779027	0.37933176002981	0.256303069888962	0.321565524377625								
66.2	0.332629674306393	0.672093649085038	0.261528006989613	0.355052382561676	0.180029332681496	0.41845733449261	0.277857609405617	0.343477996226185								
67.5	0.361278648974668	0.698331539289559	0.292107562372585	0.385468063534978	0.214861891957956	0.461309154142343	0.307250163291966	0.38912897924402								
68.9	0.37183353437877	0.742734122712594	0.316862440539753	0.419939168638053	0.227694940112442	0.504160973792076	0.334683213585892	0.420171647696147								
70.2	0.401990349819059	0.781081808396125	0.341617318706922	0.474687394389997	0.253361036421413	0.533970935287542	0.354278249510124	0.449388276827561								
71.6	0.423100120627262	0.805301399354144	0.354722842442481	0.490909090909091	0.271693962356392	0.571233387156875	0.397387328543436	0.482256984600402								
72.9	0.451749095295537	0.847685683530678	0.388214736433356	0.545657316661034	0.302859936445857	0.628990187554341	0.434617896799477	0.505995495769676								
74.3	0.477382388419783	0.894106566200215	0.417338122512377	0.572017573504562	0.330359325348326	0.649484536082474	0.464010450685826	0.553472518108223								
75.6	0.512062726176116	0.88805166846071	0.46102320163091	0.606488678607638	0.372525054998778	0.681157620171407	0.489483997387329	0.575384989956784								
77	0.536188178528347	0.932454251883746	0.477041063974371	0.638932071645826	0.400024443901247	0.71283070426034	0.534552580013063	0.610079737050338								
78.3	0.566344993968637	0.956673842841765	0.513445296573148	0.661236904359581	0.42385724761672	0.742640665755807	0.554147615937296	0.646600523464605								
79.7	0.620627261761158	0.946582346609257	0.528006989612659	0.691652585332883	0.456856514299682	0.781766240218606	0.607054212932724	0.681295270558159								
81	0.643244873341375	0.954655543595264	0.555674206387729	0.722068266306184	0.484355903202151	0.79667122096634	0.624689745264533	0.695903585123866								
82.4	0.662846803377563	0.968783638320775	0.581885253858849	0.746400811084826	0.519188462478612	0.835796795429139	0.665839320705421	0.728772292896707								
83.7	0.693003618817853	0.976856835306781	0.605183962722066	0.766677931733694	0.548521143974578	0.846975530989939	0.699150881776617	0.752510804065981								
85.1	0.726176115802171	0.958692142088267	0.635763518105038	0.791010476512335	0.566854069909558	0.869333002111539	0.726583932070542	0.776249315235255								
86.4	0.763872135102533	0.932454251883746	0.656149888360353	0.799121324771882	0.59985333659252	0.880511737672339	0.748138471587198	0.799987826404529								
87.8	0.769903498190591	0.970801937567277	0.688185613047277	0.817370733355863	0.621852847714495	0.908458576574339	0.763814500326584	0.825552376894516								
89.1	0.794028950542823	0.942545748116254	0.723133676342103	0.833592429874958	0.669518455145441	0.895416718420072	0.77949052906597	0.84929088806379								
90.5	0.810615199034982	0.960710441334768	0.740607707989516	0.845758702264278	0.686018088486922	0.951310396224072	0.810842586544742	0.86572524195021								
91.8	0.834740651387214	0.948600645855759	0.755169401029026	0.853869550523826	0.708017599608898	0.951310396224072	0.842194644023514	0.878507517195204								
93.2	0.846803377563329	0.964747039827772	0.782836617804097	0.857924974653599	0.733683695917868	0.955036641411005	0.877465708687133	0.896767910402337								
94.5	0.858866103739445	0.982911733046286	0.801766818755461	0.882257519432241	0.746516744072354	0.958762886597938	0.885303723056826	0.916854342930185								
95.9	0.869420989143546	1.0051130247578	0.822153189010776	0.874146671172693	0.766682962600831	0.973667867345671	0.899020248203788	0.905898107005904								
97.2	0.893546441495778	0.995021528525296	0.826521696922629	0.894423791821561	0.781349303348814	0.943857905850205	0.922534291312867	0.929636618175178								
98.6	0.904101326899879	1.01520452099031	0.851276575089797	0.924839472794863	0.808848692251283	0.962489131784871	0.924493794905291	0.951549090023739								
99.9	0.898069963811821	1.02529601722282	0.857101252305601	0.920784048665089	0.841847958934246	0.994162215873804	0.940169823644677	0.966157404589446								
101	0.905609167671894	1.00713132400431	0.864382098825357	0.914700912470429	0.84734783671474	0.994162215873804	0.9421293272371	0.958853247306592								
103	0.928226779252111	1.02933261571582	0.886224638384623	0.943088881378844	0.871180640430213	0.992299093280338	0.94800783801437	0.984417797796579								
104	0.955367913148372	1.03336921420883	0.915348024463644	0.951199729638391	0.867514055243217	0.999751583654204	0.959764859568909	0.966157404589446								
105	0.94481302774427	1.03135091496233	0.900786331424134	0.947144305508618	0.904179907113175	0.997888461060738	0.977400391900719	0.986243837117293								
107	0.971954161640531	1.02933261571582	0.925541209591302	0.951199729638391	0.911513077487167	0.992299093280338	0.957805355976486	0.986243837117293								
108	0.971954161640531	1.02933261571582	0.921172701679449	0.949172017573504	0.929846003422146	0.977394112532605	0.975440888308295	0.978939679834439								
109	0.973462002412545		0.941559071934764	0.937005745184184	0.918846247861159	0.986709725499938	0.967602873938602	0.999026112362286								
111	0.985524728588661		0.941559071934764	0.967421426157485	0.940845758983134	1.010930319215	0.995035924232528	1.00267819100371								
112	1.00361881785283		0.948839918454519	0.965393714092599	0.955512099731117	0.994162215873804	0.977400391900719	0.997200073041573								
113	0.999095295536791		0.959033103582177	0.981615410611693	0.950012221950623	0.994162215873804	0.971521881123449	0.997200073041573								
115	0.985524728588661		0.973594796621687	0.987698546806353	0.966511855292105	0.996025338467271	0.989157413455258	1.00815630896585								
116	0.982509047044632		0.959033103582177	0.967421426157485	0.981178196040088	0.992299093280338	0.989157413455258	1.00267819100371								
117	1.00512665862485		0.975050965925638	0.969449138222372	0.981178196040088	1.00347782884114	1.00287393860222	1.00267819100371								
119	0.996079613992762		0.980875643141443	0.985670834741467	0.975678318259594	1.00347782884114	0.989157413455258	1.01363442692799								
120	1.00814234016888		0.996893505484904	0.979587698546806	0.981178196040088	1.00347782884114	1.01659046374918	0.99537403372086								
122	0.993063932448733		0.986700320357247	0.979587698546806	0.990344659007578	0.990435970686871	0.995035924232528	1.00267819100371								
123	1.01568154402895		0.988156489661198	0.9958093950659	0.98851136641408	0.997888461060738	1.00875244937949	1.02641670217299								
124	0.973462002412545		0.998349674788856	0.999864819195674	1.00317770716206	1.01838280958887	1.00483344219464	0.982591758475866								
126	0.982509047044632		1.00563052130861	0.999864819195674	0.995844536788071	0.988572848093405	0.983278902677988	1.00267819100371								
127	0.98854041013269		0.993981166877002	0.993781683001014	0.983011488633586	0.996025338467271	0.975440888308295	0.991721955079433								
128	0.999095295536791		0.999805844092806	0.975532274417033	1.00684429234906	0.988572848093405	1.0009144350098	0.99537403372086								
130	1.00965018094089		0.989612658965149	1.00189253126056	0.997677829381569	1.00161470624767	0.993076420640105	1.00815630896585								
131	1.01417370325694		0.996893505484904	0.981615410611693	1.00501099975556	0.999751583654204	1.01071195297191	0.984417797796579								
132	1.02623642943305		1.00563052130861	1.01000337952011	0.992177951601076	0.992299093280338	1.00483344219464	0.997200073041573								
134	0.997587454764777		1.01291136782837	1.01203109158499	0.992177951601076	0.990435970686871	1.0009144350098	1.01363442692799								
135	0.991556091676719		1.00999902922046	1.01405880364988	1.01784404791005	0.977394112532605	0.996995427824951	0.999026112362286								
136	0.999095295536791		0.999805844092806	0.999864819195674	0.984844781227084	0.997888461060738	1.01463096015676	0.993547994400146								
																
																
																
40									-0.0131086142322097		-0.00384615384615385	-0.0158434296365331	-0.010752688172043	-0.00856327307326356	-0.014207650273224	-0.00808625336927224
60									0.0131086142322097	0.0117845117845118	0.00384615384615385	0.0158434296365331	0.010752688172043	0.00856327307326356	0.014207650273224	0.00808625336927224
80									0	-0.0117845117845118	0.00769230769230769	0.0102516309412861	0.000977517106549365	-0.00475737392959087	-0.00109289617486339	0.000898472596585804
100									0.00561797752808989	0.00168350168350168	-0.00384615384615385	0.0139794967381174	-0.00293255131964809	0.000951474785918173	-0.00546448087431694	0.0260557053009883
120									0.0205992509363296	0.0202020202020202	0.0288461538461538	0.0493942218080149	0.0303030303030303	0.0371075166508088	0.00983606557377049	0.0799640610961366
140									0.0636704119850187	0.0488215488215488	0.0807692307692308	0.131407269338304	0.104594330400782	0.120837297811608	0.0797814207650273	0.223719676549865
160									0.142322097378277	0.143097643097643	0.161538461538462	0.256290773532153	0.253176930596285	0.274976213130352	0.228415300546448	0.415992812219227
180									0.292134831460674	0.282828282828283	0.290384615384615	0.437092264678472	0.452590420332356	0.478591817316841	0.39672131147541	0.604672057502246
200									0.449438202247191	0.46969696969697	0.463461538461538	0.599254426840634	0.618768328445748	0.68220742150333	0.604371584699454	0.75381850853549
220									0.621722846441948	0.636363636363636	0.636538461538461	0.737185461323392	0.73802541544477	0.790675547098002	0.724590163934426	0.847259658580413
240									0.750936329588015	0.762626262626263	0.742307692307692	0.819198508853681	0.839687194525904	0.885823025689819	0.86448087431694	0.884995507637017
260									0.850187265917603	0.868686868686869	0.834615384615385	0.884436160298229	0.902248289345064	0.929590865842055	0.919125683060109	0.956873315363881
280									0.945692883895131	0.917508417508417	0.934615384615385	0.936626281453868	0.970674486803519	0.973358705994291	0.980327868852459	0.98921832884097
300									1	1	1	1	1	1	1	1
